timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693615194026,1887,HTTP Request,200,OK,Threadlogin 1-1,text,true,,1135521,121,8,8,https://www.daraz.com.bd/,790,0,725
1693615195915,562,HTTP Request,200,OK,Threadlogin 1-1,text,true,,1135552,121,11,11,https://www.daraz.com.bd/,56,0,0
1693615194177,2489,HTTP Request,200,OK,Threadlogin 1-2,text,true,,1135498,121,10,10,https://www.daraz.com.bd/,639,0,574
1693615194425,2274,HTTP Request,200,OK,Threadlogin 1-3,text,true,,1135492,121,11,11,https://www.daraz.com.bd/,391,0,327
1693615194676,2119,HTTP Request,200,OK,Threadlogin 1-4,text,true,,1135473,121,11,11,https://www.daraz.com.bd/,234,0,176
1693615194926,2118,HTTP Request,200,OK,Threadlogin 1-5,text,true,,1135473,121,12,12,https://www.daraz.com.bd/,228,0,170
1693615195424,1832,HTTP Request,200,OK,Threadlogin 1-7,text,true,,1135490,121,13,13,https://www.daraz.com.bd/,226,0,169
1693615195174,2137,HTTP Request,200,OK,Threadlogin 1-6,text,true,,1135489,121,13,13,https://www.daraz.com.bd/,230,0,173
1693615196699,749,HTTP Request,200,OK,Threadlogin 1-3,text,true,,1135522,121,14,14,https://www.daraz.com.bd/,57,0,0
1693615196666,805,HTTP Request,200,OK,Threadlogin 1-2,text,true,,1135508,121,13,13,https://www.daraz.com.bd/,56,0,0
1693615196795,722,HTTP Request,200,OK,Threadlogin 1-4,text,true,,1135520,121,12,12,https://www.daraz.com.bd/,57,0,0
1693615197044,697,HTTP Request,200,OK,Threadlogin 1-5,text,true,,1135513,121,12,12,https://www.daraz.com.bd/,58,0,0
1693615195674,2096,HTTP Request,200,OK,Threadlogin 1-8,text,true,,1135511,121,11,11,https://www.daraz.com.bd/,233,0,172
1693615197257,718,HTTP Request,200,OK,Threadlogin 1-7,text,true,,1135516,121,12,12,https://www.daraz.com.bd/,69,0,0
1693615195923,2086,HTTP Request,200,OK,Threadlogin 1-9,text,true,,1135484,121,11,11,https://www.daraz.com.bd/,234,0,177
1693615197311,798,HTTP Request,200,OK,Threadlogin 1-6,text,true,,1135536,121,11,11,https://www.daraz.com.bd/,77,0,0
1693615196172,2098,HTTP Request,200,OK,Threadlogin 1-10,text,true,,1135492,121,11,11,https://www.daraz.com.bd/,237,0,179
1693615197770,682,HTTP Request,200,OK,Threadlogin 1-8,text,true,,1135521,121,12,12,https://www.daraz.com.bd/,58,0,0
1693615196422,2031,HTTP Request,200,OK,Threadlogin 1-11,text,true,,1135484,121,11,11,https://www.daraz.com.bd/,235,0,178
1693615198009,670,HTTP Request,200,OK,Threadlogin 1-9,text,true,,1135475,121,12,12,https://www.daraz.com.bd/,59,0,0
1693615196673,2139,HTTP Request,200,OK,Threadlogin 1-12,text,true,,1135488,121,11,11,https://www.daraz.com.bd/,229,0,171
1693615196922,1924,HTTP Request,200,OK,Threadlogin 1-13,text,true,,1135443,121,11,11,https://www.daraz.com.bd/,244,0,180
1693615198270,683,HTTP Request,200,OK,Threadlogin 1-10,text,true,,1135490,121,11,11,https://www.daraz.com.bd/,59,0,0
1693615197673,1373,HTTP Request,200,OK,Threadlogin 1-16,text,true,,1135473,121,10,10,https://www.daraz.com.bd/,234,0,177
1693615198453,678,HTTP Request,200,OK,Threadlogin 1-11,text,true,,1135520,121,10,10,https://www.daraz.com.bd/,58,0,0
1693615197421,1716,HTTP Request,200,OK,Threadlogin 1-15,text,true,,1135489,121,9,9,https://www.daraz.com.bd/,258,0,194
1693615197173,2155,HTTP Request,200,OK,Threadlogin 1-14,text,true,,1135489,121,9,9,https://www.daraz.com.bd/,286,0,201
1693615198846,693,HTTP Request,200,OK,Threadlogin 1-13,text,true,,1135521,121,9,9,https://www.daraz.com.bd/,59,0,0
1693615198813,730,HTTP Request,200,OK,Threadlogin 1-12,text,true,,1135537,121,8,8,https://www.daraz.com.bd/,57,0,0
1693615199046,588,HTTP Request,200,OK,Threadlogin 1-16,text,true,,1135554,121,7,7,https://www.daraz.com.bd/,56,0,0
1693615199138,632,HTTP Request,200,OK,Threadlogin 1-15,text,true,,1135520,121,6,6,https://www.daraz.com.bd/,56,0,0
1693615197922,1863,HTTP Request,200,OK,Threadlogin 1-17,text,true,,1135474,121,5,5,https://www.daraz.com.bd/,228,0,172
1693615199328,688,HTTP Request,200,OK,Threadlogin 1-14,text,true,,1135538,121,5,5,https://www.daraz.com.bd/,57,0,0
1693615198171,2088,HTTP Request,200,OK,Threadlogin 1-18,text,true,,1135490,121,4,4,https://www.daraz.com.bd/,242,0,181
1693615199785,684,HTTP Request,200,OK,Threadlogin 1-17,text,true,,1135513,121,4,4,https://www.daraz.com.bd/,56,0,0
1693615198672,1914,HTTP Request,200,OK,Threadlogin 1-20,text,true,,1135473,121,3,3,https://www.daraz.com.bd/,241,0,177
1693615198422,2287,HTTP Request,200,OK,Threadlogin 1-19,text,true,,1135469,121,3,3,https://www.daraz.com.bd/,412,0,179
1693615200259,666,HTTP Request,200,OK,Threadlogin 1-18,text,true,,1135516,121,3,3,https://www.daraz.com.bd/,56,0,0
1693615200586,672,HTTP Request,200,OK,Threadlogin 1-20,text,true,,1135538,121,2,2,https://www.daraz.com.bd/,59,0,0
1693615200709,677,HTTP Request,200,OK,Threadlogin 1-19,text,true,,1135529,121,1,1,https://www.daraz.com.bd/,57,0,0
